Frequency_MHz,Power_dBm
704.024,-77.800
704.132,-84.645
704.241,-91.583
704.349,-86.687
704.458,-91.591
704.566,-92.295
704.675,-94.951
704.783,-94.494
704.892,-96.651
705.000,-93.357
705.108,-96.269
705.217,-96.373
705.325,-96.792
705.434,-95.560
705.542,-95.856
705.651,-94.331
705.759,-96.082
705.868,-92.956
705.976,-95.859
706.085,-96.088
706.193,-96.731
706.302,-96.151
706.410,-97.712
706.519,-97.341
706.627,-96.779
706.736,-95.977
706.844,-97.251
706.953,-97.179
707.061,-96.967
707.170,-97.126
707.278,-94.499
707.387,-95.834
707.495,-96.066
707.603,-95.691
707.712,-96.866
707.820,-96.673
707.929,-96.015
708.037,-94.798
708.146,-89.731
708.254,-87.995
708.363,-83.697
708.471,-90.339
708.580,-92.809
708.688,-91.712
708.797,-93.202
708.905,-96.628
709.014,-98.169
709.122,-96.060
709.231,-94.873
709.339,-97.277
709.448,-97.093
709.556,-97.326
709.665,-98.182
709.773,-94.614
709.882,-96.653
709.990,-97.583
710.098,-97.493
710.207,-96.317
710.315,-97.501
710.424,-95.139
710.532,-96.747
710.641,-96.635
710.749,-95.893
710.858,-97.683
710.966,-96.719
711.075,-94.775
711.183,-98.630
711.292,-96.218
711.400,-96.579
711.509,-93.639
711.617,-96.755
711.726,-97.553
711.834,-96.695
711.943,-96.820
712.051,-98.437
712.160,-97.313
712.268,-97.259
712.377,-96.231
712.485,-98.566
712.593,-98.512
712.702,-96.838
712.810,-97.848
712.919,-96.982
713.027,-96.870
713.136,-98.549
713.244,-96.642
713.353,-95.319
713.461,-99.072
713.570,-99.189
713.678,-97.907
713.787,-99.559
713.895,-97.551
714.004,-97.452
714.112,-97.826
714.221,-92.512
714.329,-91.367
714.438,-92.824
714.546,-96.021
714.655,-99.545
714.763,-98.891
714.872,-97.744
714.980,-96.990
715.088,-97.270
715.197,-96.827
715.305,-98.117
715.414,-97.557
715.522,-97.584
715.631,-97.034
715.739,-96.545
715.848,-96.902
715.956,-96.277
716.065,-97.624
716.173,-97.690
716.282,-97.744
716.390,-98.122
716.499,-98.845
716.607,-97.788
716.716,-97.270
716.824,-96.968
716.933,-96.477
717.041,-94.797
717.150,-95.681
717.258,-94.293
717.367,-96.098
717.475,-97.370
717.583,-96.676
717.692,-96.902
717.800,-96.530
717.909,-97.355
718.017,-97.510
718.126,-96.567
718.234,-94.883
718.343,-93.809
718.451,-90.315
718.560,-84.856
718.668,-80.666
718.777,-93.732
718.885,-96.288
718.994,-97.755
719.102,-97.044
719.211,-97.020
719.319,-98.176
719.428,-97.324
719.536,-98.595
719.645,-98.049
719.753,-98.032
719.862,-95.129
719.970,-86.711
720.078,-89.642
720.187,-96.515
720.295,-97.677
720.404,-96.113
720.512,-98.214
720.621,-98.151
720.729,-98.869
720.838,-98.435
720.946,-96.229
721.055,-98.586
721.163,-97.788
721.272,-98.134
721.380,-97.400
721.489,-96.445
721.597,-96.221
721.706,-98.982
721.814,-97.995
721.923,-98.553
722.031,-95.910
722.140,-97.294
722.248,-97.192
722.357,-97.882
722.465,-96.960
722.573,-95.425
722.682,-95.765
722.790,-95.068
722.899,-95.258
723.007,-96.601
723.116,-96.088
723.224,-95.605
723.333,-98.260
723.441,-97.087
723.550,-98.213
723.658,-98.022
723.767,-97.012
723.875,-98.464
723.984,-98.915
724.092,-96.780
724.201,-95.709
724.309,-97.791
724.418,-97.985
724.526,-98.336
724.635,-98.598
724.743,-97.971
724.852,-98.720
724.960,-96.099
725.068,-96.208
725.177,-97.126
725.285,-96.780
725.394,-97.055
725.502,-92.587
725.611,-89.328
725.719,-91.510
725.828,-96.118
725.936,-97.003
726.045,-97.361
726.153,-97.830
726.262,-97.650
726.370,-97.270
726.479,-98.124
726.587,-96.060
726.696,-96.294
726.804,-98.515
726.913,-98.257
727.021,-97.918
727.130,-95.794
727.238,-96.498
727.347,-98.749
727.455,-97.145
727.563,-98.463
727.672,-97.603
727.780,-95.640
727.889,-97.537
727.997,-95.347
728.106,-96.243
728.214,-97.509
728.323,-95.373
728.431,-92.864
728.540,-93.840
728.648,-95.233
728.757,-98.076
728.865,-96.100
728.974,-96.609
729.082,-97.561
729.191,-97.748
729.299,-92.873
729.408,-90.121
729.516,-91.239
729.625,-93.000
729.733,-93.216
729.842,-93.277
729.950,-93.525
730.058,-92.345
730.167,-91.972
730.275,-93.463
730.384,-95.303
730.492,-92.237
730.601,-94.407
730.709,-91.854
730.818,-94.196
730.926,-93.653
731.035,-92.950
731.143,-91.755
731.252,-88.113
731.360,-90.397
731.469,-93.427
731.577,-94.306
731.686,-93.991
731.794,-90.691
731.903,-92.259
732.011,-93.708
732.120,-94.401
732.228,-92.472
732.337,-94.087
732.445,-93.421
732.553,-94.766
732.662,-94.100
732.770,-92.634
732.879,-94.034
732.987,-93.504
733.096,-93.535
733.204,-93.641
733.313,-93.817
733.421,-92.625
733.530,-94.243
733.638,-93.660
733.747,-93.931
733.855,-94.168
733.964,-94.719
734.072,-91.637
734.181,-93.376
734.289,-93.593
734.398,-93.522
734.506,-93.532
734.615,-94.167
734.723,-93.327
734.832,-93.044
734.940,-95.289
735.048,-94.270
735.157,-93.558
735.265,-94.414
735.374,-95.158
735.482,-94.336
735.591,-95.305
735.699,-94.344
735.808,-94.617
735.916,-94.312
736.025,-94.143
736.133,-94.039
736.242,-93.043
736.350,-93.728
736.459,-93.038
736.567,-93.122
736.676,-94.342
736.784,-90.307
736.893,-89.250
737.001,-89.530
737.110,-92.988
737.218,-93.103
737.327,-94.033
737.435,-90.994
737.543,-92.596
737.652,-94.889
737.760,-93.256
737.869,-94.433
737.977,-95.564
738.086,-94.809
738.194,-94.883
738.303,-94.242
738.411,-95.131
738.520,-94.204
738.628,-98.118
738.737,-95.216
738.845,-97.106
738.954,-96.177
739.062,-97.742
739.171,-97.554
739.279,-97.002
739.388,-96.821
739.496,-96.430
739.605,-96.094
739.713,-96.816
739.822,-98.273
739.930,-96.453
740.038,-95.665
740.147,-92.805
740.255,-89.765
740.364,-88.521
740.472,-89.524
740.581,-89.049
740.689,-88.580
740.798,-90.983
740.906,-88.664
741.015,-87.000
741.123,-89.329
741.232,-88.979
741.340,-87.522
741.449,-91.493
741.557,-91.233
741.666,-90.783
741.774,-92.184
741.883,-89.773
741.991,-89.687
742.100,-87.672
742.208,-88.309
742.317,-86.457
742.425,-84.423
742.533,-87.938
742.642,-85.841
742.750,-85.179
742.859,-86.899
742.967,-85.907
743.076,-88.601
743.184,-88.826
743.293,-88.817
743.401,-90.345
743.510,-87.890
743.618,-89.674
743.727,-90.177
743.835,-89.823
743.944,-91.483
744.052,-89.995
744.161,-88.849
744.269,-90.644
744.378,-89.710
744.486,-89.777
744.595,-90.142
744.703,-89.650
744.812,-96.522
744.920,-98.838
745.028,-98.338
745.137,-99.715
745.245,-99.628
745.354,-97.527
745.462,-98.598
745.571,-98.118
745.679,-97.045
745.788,-97.783
745.896,-97.486
746.005,-98.957
746.113,-91.825
746.222,-87.706
746.330,-82.434
746.439,-83.068
746.547,-89.244
746.656,-90.718
746.764,-90.006
746.873,-87.421
746.981,-89.607
747.090,-89.027
747.198,-90.504
747.307,-89.196
747.415,-86.519
747.523,-89.237
747.632,-90.635
747.740,-88.758
747.849,-88.638
747.957,-88.259
748.066,-80.435
748.174,-83.211
748.283,-82.674
748.391,-83.564
748.500,-83.165
748.608,-82.890
748.717,-85.722
748.825,-86.530
748.934,-85.072
749.042,-88.890
749.151,-89.320
749.259,-86.963
749.368,-84.302
749.476,-86.330
749.585,-85.511
749.693,-85.146
749.802,-89.913
749.910,-85.960
749.910,-86.523
750.018,-85.884
750.127,-86.237
750.235,-87.631
750.344,-81.376
750.452,-86.736
750.561,-88.926
750.669,-86.976
750.778,-85.108
750.886,-98.257
750.995,-99.456
751.103,-98.167
751.212,-89.209
751.320,-86.542
751.429,-84.949
751.537,-91.463
751.646,-90.996
751.754,-93.377
751.863,-88.723
751.971,-92.245
752.080,-90.765
752.188,-90.751
752.297,-88.285
752.405,-88.934
752.513,-90.313
752.622,-88.297
752.730,-92.106
752.839,-90.753
752.947,-90.816
753.056,-85.374
753.164,-86.417
753.273,-89.062
753.381,-87.997
753.490,-88.406
753.598,-88.760
753.707,-90.224
753.815,-90.403
753.924,-90.187
754.032,-89.454
754.141,-87.656
754.249,-89.196
754.358,-89.050
754.466,-88.499
754.575,-88.177
754.683,-88.381
754.792,-90.536
754.900,-87.210
755.008,-87.286
755.117,-87.949
755.225,-90.441
755.334,-91.642
755.442,-88.224
755.551,-88.907
755.659,-89.396
755.768,-89.516
755.876,-98.316
755.985,-97.829
756.093,-97.405
