Frequency_MHz,Power_dBm
415.946,-96.868
416.055,-98.226
416.163,-95.110
416.272,-96.096
416.380,-96.269
416.489,-96.578
416.597,-97.677
416.706,-98.547
416.814,-97.061
416.923,-92.587
417.031,-97.590
417.140,-97.311
417.248,-98.025
417.357,-96.202
417.465,-93.376
417.573,-96.770
417.682,-96.437
417.790,-90.971
417.899,-86.349
418.007,-83.343
418.116,-90.004
418.224,-96.128
418.333,-95.780
418.441,-96.518
418.550,-98.211
418.658,-94.852
418.767,-96.418
418.875,-95.886
418.984,-97.504
419.092,-98.925
419.201,-98.469
419.309,-95.611
419.418,-100.093
419.526,-97.906
419.635,-96.102
419.743,-96.227
419.852,-100.184
419.960,-94.413
420.068,-94.899
420.177,-98.183
420.285,-94.572
420.394,-97.105
420.502,-97.391
420.611,-96.457
420.719,-94.254
420.828,-94.162
420.936,-96.838
421.045,-97.423
421.153,-96.818
421.262,-96.523
421.370,-77.548
421.479,-96.793
421.587,-95.917
421.696,-95.954
421.804,-97.411
421.913,-97.161
422.021,-96.850
422.130,-95.586
422.238,-95.060
422.347,-94.103
422.455,-95.246
422.563,-88.695
422.672,-96.000
422.780,-94.767
422.889,-96.437
422.997,-92.685
423.106,-88.879
423.214,-97.281
423.323,-98.651
423.431,-95.826
423.540,-93.940
423.648,-94.742
423.757,-95.598
423.865,-96.510
423.974,-94.885
424.082,-94.313
424.191,-94.261
424.299,-97.537
424.408,-95.528
424.516,-96.952
424.625,-96.946
424.733,-97.648
424.842,-96.862
424.950,-95.773
425.058,-97.385
425.167,-97.224
425.275,-97.925
425.384,-96.650
425.492,-97.614
425.601,-96.403
425.709,-96.778
425.818,-97.567
425.926,-92.860
426.035,-97.467
426.143,-96.018
426.252,-94.952
426.360,-96.057
426.469,-97.105
426.577,-94.869
426.686,-96.528
426.794,-96.464
426.903,-98.622
427.011,-96.426
427.120,-95.059
427.228,-94.998
427.337,-96.325
427.445,-94.733
427.553,-93.820
427.662,-95.459
427.770,-95.225
427.879,-96.337
