Frequency (Hz),Level (dBm)
56.66,-97.36
56.67,-93.34
56.68,-89.49
56.69,-92.88
56.70,-92.75
56.71,-92.14
56.72,-96.98
56.73,-99.90
56.74,-92.48
56.75,-90.25
56.76,-92.36
56.77,-92.47
56.78,-88.02
56.79,-90.44
56.80,-88.97
56.81,-91.49
56.82,-91.12
56.83,-88.55
56.84,-89.74
56.85,-98.93
56.86,-90.39
56.87,-89.28
56.88,-96.19
56.89,-89.50
56.90,-91.46
56.91,-95.83
56.92,-96.98
56.93,-94.50
56.94,-96.50
56.95,-93.44
56.96,-93.27
56.97,-97.95
56.98,-92.27
56.99,-94.74
57.00,-94.17
57.01,-92.06
57.02,-95.95
57.03,-93.23
57.04,-90.71
57.05,-99.12
57.06,-95.88
57.07,-97.24
57.08,-92.37
57.09,-97.72
57.10,-98.93
57.11,-94.51
57.12,-97.74
57.13,-96.16
57.14,-95.80
57.15,-91.11
57.16,-88.27
57.17,-101.71
57.18,-100.65
57.19,-94.59
57.20,-95.28
57.21,-94.77
57.22,-100.04
57.23,-100.37
57.24,-98.50
57.25,-99.50
57.26,-92.34
57.27,-95.42
57.28,-95.34
57.29,-94.47
57.30,-91.45
57.31,-93.87
57.32,-101.70
57.33,-93.73
57.34,-98.42
57.35,-92.97
57.36,-94.80
57.37,-98.91
57.38,-99.40
57.39,-94.98
57.40,-95.95
57.41,-96.31
57.42,-97.08
57.43,-101.49
57.44,-92.00
57.45,-99.48
57.46,-99.58
57.47,-94.88
57.48,-95.46
57.49,-92.97
57.50,-93.88
57.51,-95.29
57.52,-98.25
57.53,-97.12
57.54,-100.03
57.55,-99.51
57.56,-96.47
57.57,-93.68
57.58,-100.29
57.59,-95.92
57.60,-100.32
57.61,-101.42
57.62,-91.85
57.63,-93.36
57.64,-95.30
57.65,-95.84
57.66,-95.18
57.67,-94.33
57.68,-91.30
57.69,-91.57
57.70,-95.00
57.71,-93.28
57.72,-94.79
57.73,-98.18
57.74,-95.38
57.75,-94.83
57.76,-93.22
57.77,-95.54
57.78,-89.47
57.79,-95.11
57.80,-91.85
57.81,-93.05
57.82,-102.14
57.83,-94.97
57.84,-92.61
57.85,-97.05
57.86,-94.68
57.87,-92.54
57.88,-92.70
57.89,-91.58
57.90,-89.87
57.91,-97.00
57.92,-95.88
57.93,-97.59
57.94,-92.63
57.95,-96.90
57.96,-91.98
57.97,-90.43
57.98,-96.84
57.99,-92.98
58.00,-93.99
58.01,-95.39
58.02,-90.55
58.03,-90.06
58.04,-95.80
58.05,-95.05
58.06,-93.99
58.07,-100.26
58.08,-91.62
58.09,-90.41
58.10,-94.40
58.11,-92.04
58.12,-92.89
58.13,-93.81
58.14,-98.87
58.15,-98.56
58.16,-90.35
58.17,-91.67
58.18,-91.97
58.19,-91.33
58.20,-90.53
58.21,-100.12
58.22,-93.70
58.23,-97.14
58.24,-94.33
58.25,-92.35
58.26,-88.21
58.27,-87.47
58.28,-93.00
58.29,-86.17
58.30,-91.82
58.31,-92.29
58.32,-83.77
58.33,-83.67
58.34,-80.56
58.35,-87.58
58.36,-84.86
58.37,-85.60
58.38,-82.13
58.39,-86.96
58.40,-87.57
58.41,-84.72
58.42,-86.06
58.43,-90.19
58.44,-92.83
58.45,-91.04
58.46,-93.00
58.47,-92.75
58.48,-90.46
58.49,-92.07
58.50,-99.57
58.51,-103.07
58.52,-92.36
58.53,-93.64
58.54,-97.88
58.55,-97.05
58.56,-95.93
58.57,-92.70
58.58,-91.24
58.59,-98.48
58.60,-95.75
58.61,-94.77
58.62,-98.28
58.63,-90.48
58.64,-91.64
58.65,-93.70
58.66,-95.98
58.67,-94.22
58.68,-97.78
58.69,-96.23
58.70,-94.67
58.71,-93.50
58.72,-87.80
58.73,-94.14
58.74,-93.26
58.75,-95.58
58.76,-89.46
58.77,-93.09
58.78,-94.24
58.79,-93.75
58.80,-89.94
58.81,-94.70
58.82,-92.59
58.83,-88.94
58.84,-94.33
58.85,-88.58
58.86,-92.67
58.87,-91.73
58.88,-90.60
58.89,-92.53
58.90,-88.89
58.91,-92.29
58.92,-87.73
58.93,-97.27
58.94,-96.52
