Zone_1,Zone_2,Type,Order,Distance,Frequency_MHz,Severity,Device_1,Device_2,Parent_Freq1,Parent_Freq2
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,42.075,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Shure PSM-1000 L8 - ',474.025,690.0
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,43.075,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Lectrosonics 100 KHz Block 26 - 'D/D,472.825,687.7
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,43.075,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Lectrosonics 100 KHz Block 26 - 'D/D,472.825,687.7
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,43.5,Medium,Shure PSM-1000 L8 - ',Senn EM3732 A - ACR2 RF 20,690.0,474.5
Parking Lot   East and West Stage,Zone 2,Cross-Zone,3f2-2f1,12.04,43.95,Medium,Lectro Standard Block 27 - CP24 IFB 18  Patio,Generic Generic - CP24 Intercom Tx,692.1,476.05
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,44.2,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Lectrosonics 100 KHz Block 26 - 'D/D,473.2,687.7
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,44.2,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Lectrosonics 100 KHz Block 26 - 'D/D,473.2,687.7
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,44.215,Medium,RFWS Senn  36Mhz 662-698 - ',Senn EM3732 A - ACR4 RF 1,684.1,470.805
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,44.525,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Shure PSM-1000 L8 - ',474.025,688.775
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,44.525,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Shure PSM-1000 L8 - ',474.025,688.775
