Frequency (Hz),Average,Median,Range,Std Dev,Variance,PSD (dBm/Hz)
,-80.194,-80.194,9.617,6.800,46.243,-120.194
,-79.701,-79.701,8.631,6.103,37.247,-119.701
,-79.163,-79.163,7.557,5.344,28.554,-119.163
,-78.957,-78.957,7.144,5.052,25.518,-118.957
,-80.119,-80.119,9.467,6.694,44.812,-120.119
,-80.512,-80.512,10.253,7.250,52.562,-120.512
,-81.015,-81.015,11.260,7.962,63.394,-121.015
,-81.178,-81.178,11.585,8.192,67.106,-121.178
,-81.573,-81.573,12.377,8.752,76.595,-121.573
,-80.869,-80.869,10.968,7.756,60.149,-120.869
58.461,,,,,,
,-81.118,-81.118,11.465,8.107,65.723,-121.118
,-81.705,-81.705,12.640,8.938,79.885,-121.705
,-76.963,-76.963,3.155,2.231,4.977,-116.963
,-80.505,-80.505,10.240,7.241,52.429,-120.505
,-79.155,-79.155,7.540,5.332,28.426,-119.155
,-79.168,-79.168,7.566,5.350,28.622,-119.168
,-81.599,-81.599,12.428,8.788,77.228,-121.599
,-81.761,-81.761,12.751,9.016,81.294,-121.761
,-82.792,-82.792,14.814,10.475,109.727,-122.792
58.570,,,,,,
,-81.930,-81.930,13.091,9.257,85.687,-121.930
,-83.165,-83.165,15.559,11.002,121.041,-123.165
,-82.736,-82.736,14.702,10.396,108.074,-122.736
,-82.880,-82.880,14.990,10.600,112.350,-122.880
,-84.448,-84.448,18.126,12.817,164.276,-124.448
,-83.819,-83.819,16.867,11.927,142.248,-123.819
,-84.138,-84.138,17.505,12.378,153.213,-124.137
,-80.103,-80.103,9.436,6.672,44.519,-120.103
,-82.370,-82.370,13.971,9.879,97.594,-122.370
58.678,,,,,,
,-80.482,-80.482,10.193,7.208,51.949,-120.482
,-84.603,-84.603,18.437,13.037,169.961,-124.603
,-84.779,-84.779,18.787,13.284,176.476,-124.779
,-84.669,-84.669,18.569,13.130,172.404,-124.669
,-83.855,-83.855,16.939,11.978,143.465,-123.855
,-84.643,-84.643,18.515,13.092,171.403,-124.643
,-85.448,-85.448,20.127,14.232,202.548,-125.448
,-84.511,-84.511,18.252,12.906,166.568,-124.511
,-85.067,-85.067,19.364,13.692,187.482,-125.067
58.787,,,,,,
,-85.575,-85.575,20.379,14.410,207.652,-125.575
,-84.888,-84.888,19.007,13.440,180.633,-124.888
,-84.114,-84.114,17.457,12.344,152.373,-124.114
,-81.221,-81.221,11.672,8.253,68.118,-121.221
,-79.661,-79.661,8.552,6.047,36.568,-119.661
,-83.129,-83.129,15.487,10.951,119.924,-123.129
,-84.530,-84.530,18.289,12.932,167.244,-124.530
,-82.918,-82.918,15.066,10.653,113.492,-122.918
,-84.113,-84.113,17.456,12.343,152.356,-124.113
58.895,,,,,,
,-83.268,-83.268,15.765,11.148,124.268,-123.268
,-83.513,-83.513,16.256,11.495,132.129,-123.513
,-83.370,-83.370,15.970,11.292,127.520,-123.370
,-83.365,-83.365,15.960,11.285,127.361,-123.365
,-83.559,-83.559,16.349,11.560,133.645,-123.559
,-84.094,-84.094,17.417,12.316,151.676,-124.094
,-83.884,-83.884,16.998,12.019,144.466,-123.884
,-82.752,-82.752,14.734,10.419,108.545,-122.752
,-79.736,-79.736,8.702,6.153,37.862,-119.736
,-80.850,-80.850,10.930,7.729,59.732,-120.850
59.004,,,,,,
,-82.573,-82.573,14.377,10.166,103.349,-122.573
,-83.254,-83.254,15.738,11.128,123.842,-123.254
,-83.420,-83.420,16.070,11.363,129.122,-123.420
,-84.442,-84.442,18.115,12.809,164.077,-124.442
,-84.700,-84.700,18.629,13.173,173.520,-124.700
,-84.618,-84.618,18.465,13.057,170.478,-124.618
,-84.265,-84.265,17.760,12.558,157.709,-124.265
,-83.972,-83.972,17.174,12.144,147.473,-123.972
,-78.107,-78.107,5.443,3.849,14.813,-118.107
59.112,,,,,,
,-81.034,-81.034,11.298,7.989,63.822,-121.034
,-84.857,-84.857,18.943,13.395,179.419,-124.857
,-84.235,-84.235,17.700,12.516,156.645,-124.235
,-84.587,-84.587,18.404,13.014,169.354,-124.587
,-80.616,-80.616,10.462,7.398,54.727,-120.616
,-83.599,-83.599,16.428,11.616,134.940,-123.599
,-84.206,-84.206,17.642,12.475,155.620,-124.206
,-83.888,-83.888,17.006,12.025,144.602,-123.888
,-83.987,-83.987,17.203,12.164,147.972,-123.987
59.221,,,,,,
,-84.436,-84.436,18.101,12.799,163.823,-124.436
,-84.291,-84.291,17.811,12.594,158.616,-124.291
,-84.790,-84.790,18.809,13.300,176.889,-124.790
,-83.267,-83.267,15.764,11.147,124.252,-123.267
,-79.004,-79.004,7.237,5.117,26.187,-119.004
,-78.276,-78.276,5.783,4.089,16.722,-118.276
,-76.786,-76.786,2.801,1.981,3.923,-116.786
,-83.589,-83.589,16.407,11.602,134.595,-123.589
,-82.890,-82.890,15.010,10.614,112.650,-122.890
59.329,,,,,,
